generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler5	5426	9235	1	0.0188679	0.0612643	
LeafPopulationSizeScaler5	6230	8353	1	0.0188679	0.0492442	
MutationRateScaler6	600	13984	1	0.0188679	0.0125688	
RootPopulationSizeScaler6	5029	9563	1	0.0188679	0.0450332	
LeafPopulationSizeScaler6	1758	12864	1	0.0188679	0.004508	
MutationRateScaler7	33	14630	1	0.0188679	0.00781602	
RootPopulationSizeScaler7	5014	9576	1	0.0188679	0.0580169	
LeafPopulationSizeScaler7	100	14544	1	0.0188679	0.00429957	
MutationRateScaler8	2934	11620	1	0.0188679	0.0279515	
RootPopulationSizeScaler8	4957	9639	1	0.0188679	0.0542894	
LeafPopulationSizeScaler8	4835	9784	1	0.0188679	0.0181563	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13198	0	10	0.188679	none	
ConcentrationScaler	1961	2008	3	0.0566038	1.9443	
TimeSizeRateMixer	16625	36370	6	0.113208	0.020191	
TimeRootSizeMixer	19731	31930	6	0.113208	0.0337787	
EventTimeScaler	78214	122527	1	0.0188679	0.0561477	
MutationRateScaler0	5788	11269	1	0.0188679	0.0361949	
RootPopulationSizeScaler0	7076	10038	1	0.0188679	0.0596071	
LeafPopulationSizeScaler0	7240	9864	1	0.0188679	0.0435379	
MutationRateScaler1	620	16472	1	0.0188679	0.0103929	
RootPopulationSizeScaler1	5785	11250	1	0.0188679	0.0701292	
LeafPopulationSizeScaler1	1211	15837	1	0.0188679	0.00620536	
MutationRateScaler2	5652	11446	1	0.0188679	0.0437605	
RootPopulationSizeScaler2	6422	10691	1	0.0188679	0.0683587	
LeafPopulationSizeScaler2	6900	10133	1	0.0188679	0.0555242	
MutationRateScaler3	6067	10997	1	0.0188679	0.0483325	
RootPopulationSizeScaler3	7214	9871	1	0.0188679	0.0680615	
LeafPopulationSizeScaler3	7257	9816	1	0.0188679	0.0624092	
MutationRateScaler4	3925	13155	1	0.0188679	0.031239	
RootPopulationSizeScaler4	5752	11318	1	0.0188679	0.0524812	
LeafPopulationSizeScaler4	5495	11608	1	0.0188679	0.0303963	
MutationRateScaler5	5468	11612	1	0.0188679	0.0418955	
RootPopulationSizeScaler5	6412	10754	1	0.0188679	0.0607919	
LeafPopulationSizeScaler5	7307	9791	1	0.0188679	0.0491926	
MutationRateScaler6	766	16311	1	0.0188679	0.0118427	
RootPopulationSizeScaler6	5963	11126	1	0.0188679	0.0445548	
LeafPopulationSizeScaler6	2145	14978	1	0.0188679	0.00430986	
MutationRateScaler7	44	17106	1	0.0188679	0.00729983	
RootPopulationSizeScaler7	5965	11122	1	0.0188679	0.0574733	
LeafPopulationSizeScaler7	115	17010	1	0.0188679	0.00401723	
MutationRateScaler8	3524	13494	1	0.0188679	0.0271002	
RootPopulationSizeScaler8	5904	11160	1	0.0188679	0.0537943	
LeafPopulationSizeScaler8	5777	11326	1	0.0188679	0.0179669	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15116	0	10	0.188679	none	
ConcentrationScaler	2241	2287	3	0.0566038	1.9603	
TimeSizeRateMixer	18582	40986	6	0.113208	0.019853	
TimeRootSizeMixer	22608	35999	6	0.113208	0.0336587	
EventTimeScaler	88308	138671	1	0.0188679	0.0557594	
MutationRateScaler0	6732	12757	1	0.0188679	0.0358987	
RootPopulationSizeScaler0	8123	11420	1	0.0188679	0.0596127	
LeafPopulationSizeScaler0	8267	11237	1	0.0188679	0.0434679	
MutationRateScaler1	759	18736	1	0.0188679	0.00987959	
RootPopulationSizeScaler1	6701	12752	1	0.0188679	0.0695334	
LeafPopulationSizeScaler1	1431	18027	1	0.0188679	0.00592917	
MutationRateScaler2	6560	12960	1	0.0188679	0.0433331	
RootPopulationSizeScaler2	7412	12127	1	0.0188679	0.0679912	
LeafPopulationSizeScaler2	7909	11529	1	0.0188679	0.0553534	
MutationRateScaler3	7036	12450	1	0.0188679	0.0480632	
RootPopulationSizeScaler3	8221	11272	1	0.0188679	0.0679098	
LeafPopulationSizeScaler3	8297	11195	1	0.0188679	0.0623292	
MutationRateScaler4	4617	14877	1	0.0188679	0.0305902	
RootPopulationSizeScaler4	6624	12860	1	0.0188679	0.0519722	
LeafPopulationSizeScaler4	6349	13158	1	0.0188679	0.0300627	
MutationRateScaler5	6307	13201	1	0.0188679	0.0413937	
RootPopulationSizeScaler5	7330	12251	1	0.0188679	0.0603005	
LeafPopulationSizeScaler5	8369	11157	1	0.0188679	0.0491767	
MutationRateScaler6	929	18565	1	0.0188679	0.0112672	
RootPopulationSizeScaler6	6926	12604	1	0.0188679	0.0442459	
LeafPopulationSizeScaler6	2588	16959	1	0.0188679	0.00416457	
MutationRateScaler7	52	19531	1	0.0188679	0.00688911	
RootPopulationSizeScaler7	6852	12637	1	0.0188679	0.0570271	
LeafPopulationSizeScaler7	132	19444	1	0.0188679	0.00379112	
MutationRateScaler8	4149	15334	1	0.0188679	0.0264463	
RootPopulationSizeScaler8	6781	12724	1	0.0188679	0.0532316	
LeafPopulationSizeScaler8	6614	12890	1	0.0188679	0.0177668	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	16980	0	10	0.188679	none	
ConcentrationScaler	2526	2577	3	0.0566038	1.97531	
TimeSizeRateMixer	20747	45742	6	0.113208	0.0195618	
TimeRootSizeMixer	25409	40036	6	0.113208	0.033538	
EventTimeScaler	98446	154823	1	0.0188679	0.0554263	
MutationRateScaler0	7689	14266	1	0.0188679	0.0356536	
RootPopulationSizeScaler0	9191	12801	1	0.0188679	0.0596124	
LeafPopulationSizeScaler0	9306	12643	1	0.0188679	0.0433633	
MutationRateScaler1	921	21014	1	0.0188679	0.00945495	
RootPopulationSizeScaler1	7634	14274	1	0.0188679	0.0690127	
LeafPopulationSizeScaler1	1651	20263	1	0.0188679	0.00568801	
MutationRateScaler2	7417	14536	1	0.0188679	0.0429015	
RootPopulationSizeScaler2	8345	13648	1	0.0188679	0.0675629	
LeafPopulationSizeScaler2	8883	13011	1	0.0188679	0.0551209	
MutationRateScaler3	7962	13987	1	0.0188679	0.0477189	
RootPopulationSizeScaler3	9252	12693	1	0.0188679	0.0678432	
LeafPopulationSizeScaler3	9379	12558	1	0.0188679	0.0623298	
MutationRateScaler4	5349	16590	1	0.0188679	0.0301013	
RootPopulationSizeScaler4	7557	14385	1	0.0188679	0.0515325	
LeafPopulationSizeScaler4	7262	14702	1	0.0188679	0.0298243	
MutationRateScaler5	7215	14755	1	0.0188679	0.04102	
RootPopulationSizeScaler5	8296	13746	1	0.0188679	0.0599048	
LeafPopulationSizeScaler5	9444	12537	1	0.0188679	0.0491965	
MutationRateScaler6	1081	20869	1	0.0188679	0.0107743	
RootPopulationSizeScaler6	7872	14104	1	0.0188679	0.0439419	
LeafPopulationSizeScaler6	3043	18953	1	0.0188679	0.00403803	
MutationRateScaler7	55	21979	1	0.0188679	0.00654146	
RootPopulationSizeScaler7	7770	14195	1	0.0188679	0.0566081	
LeafPopulationSizeScaler7	149	21889	1	0.0188679	0.00360125	
MutationRateScaler8	4849	17109	1	0.0188679	0.025928	
RootPopulationSizeScaler8	7681	14301	1	0.0188679	0.0527898	
LeafPopulationSizeScaler8	7556	14383	1	0.0188679	0.0176507	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18806	0	10	0.188679	none	
ConcentrationScaler	2804	2858	3	0.0566038	1.98406	
TimeSizeRateMixer	22768	50692	6	0.113208	0.0192663	
TimeRootSizeMixer	28199	44159	6	0.113208	0.0334213	
EventTimeScaler	108763	170653	1	0.0188679	0.0551751	
MutationRateScaler0	8554	15857	1	0.0188679	0.0353249	
RootPopulationSizeScaler0	10208	14276	1	0.0188679	0.0594541	
LeafPopulationSizeScaler0	10345	14066	1	0.0188679	0.0432906	
MutationRateScaler1	1085	23332	1	0.0188679	0.00907765	
RootPopulationSizeScaler1	8582	15766	1	0.0188679	0.0686572	
LeafPopulationSizeScaler1	1954	22421	1	0.0188679	0.00549365	
MutationRateScaler2	8276	16154	1	0.0188679	0.0424796	
RootPopulationSizeScaler2	9329	15153	1	0.0188679	0.0672256	
LeafPopulationSizeScaler2	9887	14464	1	0.0188679	0.0549465	
MutationRateScaler3	8905	15505	1	0.0188679	0.0473965	
RootPopulationSizeScaler3	10327	14080	1	0.0188679	0.0678367	
LeafPopulationSizeScaler3	10502	13908	1	0.0188679	0.0624332	
MutationRateScaler4	6062	18359	1	0.0188679	0.0296137	
RootPopulationSizeScaler4	8481	15916	1	0.0188679	0.0511665	
LeafPopulationSizeScaler4	8174	16263	1	0.0188679	0.0296066	
MutationRateScaler5	8123	16328	1	0.0188679	0.0406773	
RootPopulationSizeScaler5	9271	15267	1	0.0188679	0.0595572	
LeafPopulationSizeScaler5	10505	13952	1	0.0188679	0.0491223	
MutationRateScaler6	1238	23185	1	0.0188679	0.0103533	
RootPopulationSizeScaler6	8838	15623	1	0.0188679	0.0436749	
LeafPopulationSizeScaler6	3520	20928	1	0.0188679	0.00393251	
MutationRateScaler7	67	24429	1	0.0188679	0.00624625	
RootPopulationSizeScaler7	8770	15669	1	0.0188679	0.0563961	
LeafPopulationSizeScaler7	166	24352	1	0.0188679	0.00343855	
MutationRateScaler8	5508	18919	1	0.0188679	0.0254466	
RootPopulationSizeScaler8	8597	15865	1	0.0188679	0.0524402	
LeafPopulationSizeScaler8	8480	15910	1	0.0188679	0.0175355	
generation 110000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20639	0	10	0.188679	none	
ConcentrationScaler	3081	3145	3	0.0566038	1.98926	
TimeSizeRateMixer	24817	55246	6	0.113208	0.0190545	
TimeRootSizeMixer	30940	48238	6	0.113208	0.0333222	
EventTimeScaler	118951	186231	1	0.0188679	0.0549529	
MutationRateScaler0	9478	17317	1	0.0188679	0.0351401	
RootPopulationSizeScaler0	11268	15612	1	0.0188679	0.0594076	
LeafPopulationSizeScaler0	11399	15422	1	0.0188679	0.0432745	
MutationRateScaler1	1243	25576	1	0.0188679	0.00876257	
RootPopulationSizeScaler1	9477	17266	1	0.0188679	0.0682795	
LeafPopulationSizeScaler1	2224	24568	1	0.0188679	0.00532514	
MutationRateScaler2	9186	17638	1	0.0188679	0.0422568	
RootPopulationSizeScaler2	10235	16648	1	0.0188679	0.0668696	
LeafPopulationSizeScaler2	10892	15855	1	0.0188679	0.0548741	
MutationRateScaler3	9850	16941	1	0.0188679	0.047198	
RootPopulationSizeScaler3	11366	15458	1	0.0188679	0.0677373	
LeafPopulationSizeScaler3	11556	15248	1	0.0188679	0.0623875	
MutationRateScaler4	6758	20046	1	0.0188679	0.02922	
RootPopulationSizeScaler4	9371	17452	1	0.0188679	0.0508301	
LeafPopulationSizeScaler4	9039	17794	1	0.0188679	0.0293968	
MutationRateScaler5	9013	17819	1	0.0188679	0.0404413	
RootPopulationSizeScaler5	10257	16704	1	0.0188679	0.059373	
LeafPopulationSizeScaler5	11569	15306	1	0.0188679	0.0490861	
MutationRateScaler6	1421	25389	1	0.0188679	0.0100056	
RootPopulationSizeScaler6	9760	17105	1	0.0188679	0.0434771	
LeafPopulationSizeScaler6	3942	22903	1	0.0188679	0.00383715	
MutationRateScaler7	80	26824	1	0.0188679	0.00599645	
RootPopulationSizeScaler7	9678	17145	1	0.0188679	0.0560877	
LeafPopulationSizeScaler7	191	26708	1	0.0188679	0.00330389	
MutationRateScaler8	6202	20622	1	0.0188679	0.0250773	
RootPopulationSizeScaler8	9481	17374	1	0.0188679	0.0520909	
LeafPopulationSizeScaler8	9395	17420	1	0.0188679	0.0174285	
generation 120000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	22550	0	10	0.188679	none	
ConcentrationScaler	3372	3448	3	0.0566038	1.99698	
